ItemSku,SKU,SkuVendorCode,SkuName,Product Type,VendorCode,Country,status,VendorType,SiteName,Plant Type,WarehouseName
BB852-32,BB852-32,BB852-32ELT,Midnight Resplendence,Mixed,ELT,Colombia,Active,Floral,Midnight Resplendence,One Time,
5371684191,BB853-24,BB853-24ELT,Honey Bun,Mixed,ELT,Colombia,Active,Floral,Honey Bun,One Time,
BB-HONEYBLUSH,BB853-24,BB853-24ELT,Honey Bun,Mixed,ELT,Colombia,Active,Floral,Honey Bun,One Time,
BB853-24,BB853-24,BB853-24ELT,Honey Bun,Mixed,ELT,Colombia,Active,Floral,Honey Bun,One Time,
BB854-22,BB854-22,BB854-22ELT,Crushed Velvet,Mixed,ELT,Colombia,Active,Floral,Crushed Velvet,One Time,
5255000779,BB855-30,BB855-30SVG,Orange Peony Tulips,Tulip,SVG,USA,Active,Floral,Orange Peony Tulips,One Time,SUN VALLEY
BB855-30,BB855-30,BB855-30SVG,Orange Peony Tulips,Tulip,SVG,USA,Active,Floral,Orange Peony Tulips,One Time,SUN VALLEY
BB857-18,BB857-18,BB857-18AGN,Rose Andrea x18,Roses,AGN,Ecuador,Active,Floral,Andrea Rose,One Time,
2757614774,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
3511936316,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
B07RKY3BPG,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
BB046-24,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
BB268-25,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
BB858-25,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
MSR-RNW24,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
MSR-Shy24,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
NINTBB046-24,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
RAINBOW ROSES 12 ST_ONE TIME,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
roswon01,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
RWR2_4PROMO,BB858-25,BB858-25AGN,PF Lulu,Roses,AGN,Ecuador,Active,Floral,Kaleidoscope Roses,One Time,
6731307539,BB859-15,BB859-15SVG,Pink Peonies,Mixed,SVG,USA,Active,Floral,It Girl,One Time,SUN VALLEY
BB859-15,BB859-15,BB859-15SVG,Pink Peonies,Mixed,SVG,USA,Active,Floral,It Girl,One Time,SUN VALLEY
5107428206,BB860-24,BB860-24MEL,Pumpkin Patch,Mixed,MEL,USA,Active,Floral,Pumpkin Patch,One Time,
5637986916,BB860-24,BB860-24MEL,Pumpkin Patch,Mixed,MEL,USA,Active,Floral,Pumpkin Patch,One Time,
BB860-24,BB860-24,BB860-24MEL,Pumpkin Patch,Mixed,MEL,USA,Active,Floral,Pumpkin Patch,One Time,
BB861-24,BB861-24,BB861-24ELT,Jingle bells and berries,Mixed,ELT,Colombia,Active,Floral,Jingle Bells & Berries,One Time,
BB862-27,BB862-27,BB862-27ELT,Cramberry Jam,Mixed,ELT,Colombia,Active,Floral,Cranberry Jam,One Time,
B0BDSV55W7,BB863-30,BB863-30SVG,30 stems of double Red tulips,Tulip,SVG,USA,Active,Floral,Red Peony Tulips,One Time,SUN VALLEY
BB863-30,BB863-30,BB863-30SVG,30 stems of double Red tulips,Tulip,SVG,USA,Active,Floral,Red Peony Tulips,One Time,SUN VALLEY
BB866-18,BB866-18,BB866-18NTF,Kahala X18 50cm,Roses,NTF,Ecuador,Active,Floral,UNKN,One Time,
4053072745,BB867-30,BB867-30SVG,Fringe Purple Peony Tulips,Tulip,SVG,USA,Active,Floral,Fringe Purple Peony Tulips,One Time,SUN VALLEY
BB867-30,BB867-30,BB867-30SVG,Fringe Purple Peony Tulips,Tulip,SVG,USA,Active,Floral,Fringe Purple Peony Tulips,One Time,SUN VALLEY
BB875-22,BB875-22,BB875-22ELT,El Paso,Mixed,ELT,Colombia,Active,Floral,Berry Cobbler,One Time,
BB876-26,BB876-26,BB876-26MULT,Salem,Mixed,MULT,Colombia,Active,Floral,UNKN,One Time,
BB879-27,BB879-27,BB879-27ELT,Gold Coast,Mixed,ELT,Colombia,Active,Floral,All the Frills,One Time,
BB880-25,BB880-25,BB880-25FSN,PF- Tigger,Mixed,FSN,Ecuador,Active,Floral,Tea Party,One Time,
6813869357,BB881-25,BB881-25ELT,Moody Mojave,Mixed,ELT,Colombia,Active,Floral,Moody Mojave,One Time,
BB881-25,BB881-25,BB881-25ELT,Moody Mojave,Mixed,ELT,Colombia,Active,Floral,Moody Mojave,One Time,
