SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
BB1126-25,PF-Simba,Mixed,Sunshine Delight,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=287482086,25,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1127-15,White Mini Callas x15,Bunch,White Mini Calla,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=911106930,15,Small,Active,no match,,Perishable,One Time,SVG,Floral
BB1128-28,Pink Love Premium,Tropical,Island Oasis,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=314401509,28,Large,Active,no match,,Perishable,One Time,MGF,Floral
BB1129P,"5"" Calathea lancifolia on 5"" Brown Wood",Plants,Calathea Lancifolia with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1254307342,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB113-28,Autumn Time,Mixed,Autumn Time,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=512185731,28,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1130P,"Fiddle Leaf Fig on 5"" Grey Nate",Plants,Fiddle Leaf Fig with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1115484753,1,Other,Inactive,no match,,Perishable,One Time,GNC,Floral
BB1136P,"5"" Pink Orchid on 5"" White Evi",Plants,Pink Paris with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=611024208,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1137-27,Maui Medium,Tropical,Jungle Whispers,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1393495274,27,Small,Active,no match,,Perishable,One Time,MGF,Floral
BB1138P,"2.5"" Pink Orchid on 5"" Cream Jute",Plants,Cape Town with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1731906349,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB114-29,Fall Foliage,Mixed,Fall Foliage,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1560709388,29,Large,Active,no match,,Perishable,One Time,ELT,Floral
