Code,RetailCode,PlanType,Sku,Name,SiteName,Product Type,VendorCode,priceCode,Price,Year,Month,retail,Country,Status
BB1248-18NTFCM,BB1248-18CM,NonSuscription,BB1248-18,Red Freedom x18,Red Freedom Roses,Roses,NTF,CM,$9.00 ,2023,,price not avail,Ecuador,
BB1249-24NTFED,BB1249-24ED,NonSuscription,BB1249-24,White Mondial Rose Bqt x24 40cm,White Roses Bouquet,Roses,NTF,ED,$7.20 ,2023,,$69.99 ,USA,
BB1249-24NTFVD,BB1249-24VD,NonSuscription,BB1249-24,White Mondial Rose Bqt x24 40cm,White Roses Bouquet,Roses,NTF,VD,$10.08 ,2023,,$69.99 ,USA,
BB1249-24NTFMD,BB1249-24MD,NonSuscription,BB1249-24,White Mondial Rose Bqt x24 40cm,White Roses Bouquet,Roses,NTF,MD,$10.08 ,2023,,$69.99 ,USA,
BB1249-24NTFFL,BB1249-24FL,NonSuscription,BB1249-24,White Mondial Rose Bqt x24 40cm,White Roses Bouquet,Roses,NTF,FL,$7.20 ,2023,,$69.99 ,USA,
BB1249-24NTFCM,BB1249-24CM,NonSuscription,BB1249-24,White Mondial Rose Bqt x24 40cm,White Roses Bouquet,Roses,NTF,CM,$10.08 ,2023,,$69.99 ,USA,
BB125-29ELTED,BB125-29ED,NonSuscription,BB125-29,Celebration,Celebration,Mixed,ELT,ED,$11.55 ,2024,JAN,$64.99 ,Colombia,
BB125-29ELTVD,BB125-29VD,NonSuscription,BB125-29,Celebration,Celebration,Mixed,ELT,VD,$14.60 ,2024,JAN,$64.99 ,Colombia,
BB125-29ELTMD,BB125-29MD,NonSuscription,BB125-29,Celebration,Celebration,Mixed,ELT,MD,$12.65 ,2024,,$64.99 ,Colombia,
BB125-29ELTFL,BB125-29FL,NonSuscription,BB125-29,Celebration,Celebration,Mixed,ELT,FL,$12.65 ,2024,,$64.99 ,Colombia,
BB125-29ELTCM,BB125-29CM,NonSuscription,BB125-29,Celebration,Celebration,Mixed,ELT,CM,$12.65 ,2024,,$64.99 ,Colombia,
BB125-29ELTSO,BB125-29SO,NonSuscription,BB125-29,Celebration,Celebration,Mixed,ELT,SO,$11.55 ,2024,JAN,$64.99 ,Colombia,
BB1250PGNCED,BB1250PED,NonSuscription,BB1250P,8” Ficus Tineke in White Pot,UNKN,Plants,GNC,ED,$26.00 ,2023,,price not avail,USA,
BB1250PGNCVD,BB1250PVD,NonSuscription,BB1250P,8” Ficus Tineke in White Pot,UNKN,Plants,GNC,VD,$26.00 ,2023,,price not avail,USA,
BB1250PGNCMD,BB1250PMD,NonSuscription,BB1250P,8” Ficus Tineke in White Pot,UNKN,Plants,GNC,MD,$26.00 ,2023,,price not avail,USA,
